,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0,_datetime
1979-07-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-07-31,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
